AssetName,Abundance,Environment,Flowers,Fruits,Lat,Long,NofTrees,TreeSpecies,Country
CT0021,EpicRare,Day/Night/Rain/Snow,N/A,N/A,51.3,-99.1,One,Delta,Canada
CT0022,EpicRare,Day/Night/Rain,N/A,N/A,30.6,-2.4,One,Delta,Algeria
CT0023,EpicRare,Day/Night/Rain/Snow,N/A,N/A,49.3,76.9,One,Delta,Kazakhstan
CT0024,EpicRare,Day/Night/Rain/Snow,N/A,N/A,52.3,48.4,One,Delta,Russia
CT0025,EpicRare,Day/Night/Rain/Snow,N/A,N/A,68.9,122.9,One,Delta,Russia
CT0026,EpicRare,Day/Night/Rain/Snow,N/A,N/A,70.1,-34.1,One,Delta,Greenland
CT0027,EpicRare,Day/Night/Rain/Snow,N/A,N/A,73.6,89.6,One,Delta,Russia
CT0028,EpicRare,Day/Night/Rain/Snow,N/A,N/A,71.6,84.8,One,Delta,Russia
CT0029,EpicRare,Day/Night/Rain,N/A,N/A,-38.2,-64.2,One,Delta,Argentina
CT0030,SuperRare,Day/Night/Rain,N/A,N/A,10.9,-7.1,One,Beta,Mali
CT0031,SuperRare,Day/Night/Rain/Snow,N/A,N/A,67.1,18.2,One,Beta,Sweden
CT0032,SuperRare,Day/Night/Rain/Snow,N/A,N/A,54.1,105.5,One,Beta,Russia
CT0033,SuperRare,Day/Night/Rain/Snow,N/A,N/A,64.5,151.5,One,Beta,Russia
CT0034,SuperRare,Day/Night/Rain/Snow,N/A,N/A,60.3,19.8,One,Beta,Aland Islands
CT0035,SuperRare,Day/Night/Rain/Snow,N/A,N/A,38.1,118.2,One,Beta,China
CT0036,SuperRare,Day/Night/Rain/Snow,N/A,N/A,67.1,59.5,One,Beta,Russia
CT0037,SuperRare,Day/Night/Rain,N/A,N/A,25.2,-111.8,One,Beta,Mexico
CT0038,SuperRare,Day/Night/Rain,N/A,N/A,-19.7,-40.4,One,Beta,Brazil
CT0039,SuperRare,Day/Night/Rain,N/A,N/A,-12.1,15.1,One,Beta,Angola
CT0040,SuperRare,Day/Night/Rain,N/A,N/A,-16.7,50,One,Beta,Madagascar
CT0041,SuperRare,Day/Night/Rain,N/A,N/A,-2.8,137.2,One,Beta,Indonesia
CT0042,SuperRare,Day/Night/Rain/Snow,N/A,N/A,63.1,78.5,One,Beta,Russia
CT0043,SuperRare,Day/Night/Rain/Snow,N/A,N/A,52.3,-124.5,One,Beta,Canada
CT0044,SuperRare,Day/Night/Rain/Snow,N/A,N/A,63.1,-118.2,One,Beta,Canada
CT0045,SuperRare,Day/Night/Rain/Snow,N/A,N/A,59.3,46.8,One,Beta,Russia
CT0046,SuperRare,Day/Night/Rain/Snow,N/A,N/A,64.5,-118.2,One,Beta,Canada
CT0047,SuperRare,Day/Night/Rain,N/A,N/A,25.2,88,One,Beta,India
CT0048,SuperRare,Day/Night/Rain,N/A,N/A,0.3,-65.8,One,Beta,Brazil
CT0049,SuperRare,Day/Night/Rain/Snow,N/A,N/A,34.4,75.3,One,Beta,India
CT0050,SuperRare,Day/Night/Rain/Snow,N/A,N/A,54.1,118.2,One,Beta,Russia
CT0051,SuperRare,Day/Night/Rain/Snow,N/A,N/A,54.1,59.5,One,Beta,Russia
CT0052,SuperRare,Day/Night/Rain,N/A,N/A,-16.7,11.9,One,Beta,Angola
CT0053,SuperRare,Day/Night/Rain/Snow,N/A,N/A,67.8,100.7,One,Beta,Russia
CT0054,SuperRare,Day/Night/Rain,N/A,N/A,15.3,80.1,One,Beta,India
CT0055,SuperRare,Day/Night/Rain,N/A,N/A,22.5,56.3,One,Beta,Oman
CT0056,SuperRare,Day/Night/Rain/Snow,N/A,N/A,60.1,-110.2,One,Beta,Canada
CT0057,SuperRare,Day/Night/Rain/Snow,N/A,N/A,70.1,-111.8,One,Beta,Canada
CT0058,SuperRare,Day/Night/Rain,N/A,N/A,39.3,-2.4,One,Beta,Spain
CT0059,SuperRare,Day/Night/Rain/Snow,N/A,N/A,67.1,-122.9,One,Beta,Canada
CT0060,SuperRare,Day/Night/Rain/Snow,N/A,N/A,50.3,135.6,One,Beta,Russia
CT0061,SuperRare,Day/Night/Rain/Snow,N/A,N/A,61.7,165.7,One,Beta,Russia
CT0062,SuperRare,Day/Night/Rain,N/A,N/A,1.8,13.5,One,Beta,Congo
CT0063,SuperRare,Day/Night/Rain,N/A,N/A,3.3,102.3,One,Beta,Malaysia
CT0064,SuperRare,Day/Night/Rain,N/A,N/A,41.7,-7.1,One,Beta,Portugal
CT0065,SuperRare,Day/Night/Rain/Snow,N/A,N/A,58.5,86.4,One,Beta,Russia
CT0066,SuperRare,Day/Night/Rain/Snow,N/A,N/A,68.9,-46.8,One,Beta,Greenland
CT0067,SuperRare,Day/Night/Rain,N/A,N/A,-2.8,-45.2,One,Beta,Brazil
CT0068,SuperRare,Day/Night/Rain/Snow,N/A,N/A,55.9,30.9,One,Beta,Russia
CT0069,SuperRare,Day/Night/Rain,N/A,N/A,52.3,10.3,One,Beta,Germany
CT0070,SuperRare,Day/Night/Rain/Snow,N/A,N/A,50.3,99.1,One,Beta,Mongolia
CT0071,SuperRare,Day/Night/Rain,N/A,N/A,6.4,-65.8,One,Beta,Venezuela
CT0072,SuperRare,Day/Night/Rain/Snow,N/A,N/A,65.2,-172.1,One,Beta,Russia
CT0073,SuperRare,Day/Night/Rain/Snow,N/A,N/A,75.4,-23,One,Beta,Greenland
CT0074,SuperRare,Day/Night/Rain/Snow,N/A,N/A,60.9,78.5,One,Beta,Russia
CT0075,SuperRare,Day/Night/Rain,N/A,N/A,-1.3,24.6,One,Beta,"Congo, Democratic Republic of the"
CT0076,SuperRare,Day/Night/Rain/Snow,N/A,N/A,68.9,-159.4,One,Beta,United States of America
CT0077,SuperRare,Day/Night/Rain,N/A,N/A,25.2,-13.5,One,Beta,Morocco
CT0078,SuperRare,Day/Night/Rain/Snow,N/A,N/A,67.8,-137.2,One,Beta,Canada
CT0079,SuperRare,Day/Night/Rain,N/A,N/A,-22.7,-57.9,One,Beta,Paraguay
CT0080,SuperRare,Day/Night/Rain,N/A,N/A,26.6,84.8,One,Beta,India
CT0081,SuperRare,Day/Night/Rain/Snow,N/A,N/A,62.4,89.6,One,Beta,Russia
CT0082,SuperRare,Day/Night/Rain/Snow,N/A,N/A,67.1,23,One,Beta,Sweden
CT0083,SuperRare,Day/Night/Rain,N/A,N/A,30.6,-89.6,One,Beta,United States of America
CT0084,SuperRare,Day/Night/Rain/Snow,N/A,N/A,39.3,-95.9,One,Beta,United States of America
CT0085,SuperRare,Day/Night/Rain/Snow,N/A,N/A,47.2,-53.1,One,Beta,Canada
CT0086,SuperRare,Day/Night/Rain,N/A,N/A,30.6,73.7,One,Beta,Pakistan
CT0087,SuperRare,Day/Night/Rain/Snow,N/A,N/A,51.3,118.2,One,Beta,Russia
CT0088,SuperRare,Day/Night/Rain/Snow,N/A,N/A,67.1,92.8,One,Beta,Russia
CT0089,SuperRare,Day/Night/Rain/Snow,N/A,N/A,55.1,-92.8,One,Beta,Canada
CT0090,SuperRare,Day/Night/Rain,N/A,N/A,16.8,27.8,One,Beta,Sudan
CT0091,SuperRare,Day/Night/Rain/Snow,N/A,N/A,71.1,83.3,One,Beta,Russia
CT0092,SuperRare,Day/Night/Rain/Snow,N/A,N/A,72.6,95.9,One,Beta,Russia
CT0093,SuperRare,Day/Night/Rain/Snow,N/A,N/A,47.2,100.7,One,Beta,Mongolia
CT0094,SuperRare,Day/Night/Rain,N/A,N/A,1.8,111.8,One,Beta,Malaysia
CT0095,SuperRare,Day/Night/Rain/Snow,N/A,N/A,39.3,115,One,Beta,China
CT0096,SuperRare,Day/Night/Rain,N/A,N/A,52.3,-5.6,One,Beta,Ireland
CT0097,SuperRare,Day/Night/Rain/Snow,N/A,N/A,68.9,161,One,Beta,Russia
CT0098,SuperRare,Day/Night/Rain/Snow,N/A,N/A,59.3,54.7,One,Beta,Russia
CT0099,SuperRare,Day/Night/Rain,N/A,N/A,39.3,-7.1,One,Beta,Spain
CT0100,SuperRare,Day/Night/Rain/Snow,N/A,N/A,39.3,95.9,One,Beta,China
CT0101,SuperRare,Day/Night/Rain,N/A,N/A,-1.3,13.5,One,Beta,Gabon
CT0102,SuperRare,Day/Night/Rain,N/A,N/A,27.9,29.3,One,Beta,Egypt
CT0103,SuperRare,Day/Night/Rain/Snow,N/A,N/A,62.4,-116.6,One,Beta,Canada
CT0104,SuperRare,Day/Night/Rain/Snow,N/A,N/A,73.6,108.6,One,Beta,Russia
CT0105,SuperRare,Day/Night/Rain/Snow,N/A,N/A,50.3,78.5,One,Beta,Kazakhstan
CT0106,SuperRare,Day/Night/Rain,N/A,N/A,7.9,-75.3,One,Beta,Colombia
CT0107,SuperRare,Day/Night/Rain/Snow,N/A,N/A,54.1,21.4,One,Beta,Poland
CT0108,SuperRare,Day/Night/Rain/Snow,N/A,N/A,61.7,57.9,One,Beta,Russia
CT0109,SuperRare,Day/Night/Rain/Snow,N/A,N/A,63.8,-83.3,One,Beta,Canada
CT0110,SuperRare,Day/Night/Rain,N/A,N/A,27.9,23,One,Beta,Libya
CT0111,SuperRare,Day/Night/Rain/Snow,N/A,N/A,27.9,92.8,One,Beta,India
CT0112,SuperRare,Day/Night/Rain/Snow,N/A,N/A,65.2,-135.6,One,Beta,Canada
CT0113,SuperRare,Day/Night/Rain/Snow,N/A,N/A,46.1,-91.2,One,Beta,United States of America
CT0114,SuperRare,Day/Night/Rain,N/A,N/A,35.7,29.3,One,Beta,Turkey
CT0115,SuperRare,Day/Night/Rain,N/A,N/A,19.6,45.2,One,Beta,Saudi Arabia
CT0116,SuperRare,Day/Night/Rain/Snow,N/A,N/A,69.5,84.8,One,Beta,Russia
CT0117,SuperRare,Day/Night/Rain/Snow,N/A,N/A,71.6,-124.5,One,Beta,Canada
CT0118,SuperRare,Day/Night/Rain/Snow,N/A,N/A,45.1,50,One,Beta,Kazakhstan
CT0119,SuperRare,Day/Night/Rain,N/A,N/A,10.9,40.4,One,Beta,Ethiopia
CT0120,SuperRare,Day/Night/Rain,N/A,N/A,51.3,7.1,One,Beta,Germany
CT0121,SuperRare,Day/Night/Rain,N/A,N/A,7.9,24.6,One,Beta,Central African Republic
CT0122,SuperRare,Day/Night/Rain,N/A,N/A,33.2,-78.5,One,Beta,United States of America
CT0123,SuperRare,Day/Night/Rain/Snow,N/A,N/A,47.2,62.6,One,Beta,Kazakhstan
CT0124,SuperRare,Day/Night/Rain/Snow,N/A,N/A,55.9,118.2,One,Beta,Russia
CT0125,SuperRare,Day/Night/Rain/Snow,N/A,N/A,65.2,-137.2,One,Beta,Canada
CT0126,SuperRare,Day/Night/Rain/Snow,N/A,N/A,69.5,-72.2,One,Beta,Canada
CT0127,SuperRare,Day/Night/Rain/Snow,N/A,N/A,72.1,-124.5,One,Beta,Canada
CT0128,SuperRare,Day/Night/Rain,N/A,N/A,10.9,16.7,One,Beta,Chad
CT0129,SuperRare,Day/Night/Rain/Snow,N/A,N/A,67.1,173.7,One,Beta,Russia
CT0130,SuperRare,Day/Night/Rain,N/A,N/A,-12.1,-48.4,One,Beta,Brazil
CT0131,SuperRare,Day/Night/Rain/Snow,N/A,N/A,73.1,-34.1,One,Beta,Greenland
CT0132,SuperRare,Day/Night/Rain/Snow,N/A,N/A,72.1,-92.8,One,Beta,Canada
CT0133,SuperRare,Day/Night/Rain,N/A,N/A,-15.1,50,One,Beta,Madagascar
CT0134,SuperRare,Day/Night/Rain,N/A,N/A,18.2,-10.3,One,Beta,Mauritania
CT0135,SuperRare,Day/Night/Rain/Snow,N/A,N/A,50.3,23,One,Beta,Poland
CT0136,SuperRare,Day/Night/Rain/Snow,N/A,N/A,47.2,-57.9,One,Beta,Canada
CT0137,SuperRare,Day/Night/Rain/Snow,N/A,N/A,63.1,89.6,One,Beta,Russia
CT0138,SuperRare,Day/Night/Rain/Snow,N/A,N/A,69.5,-69,One,Beta,Canada
CT0139,SuperRare,Day/Night/Rain,N/A,N/A,27.9,107,One,Beta,China
CT0140,SuperRare,Day/Night/Rain/Snow,N/A,N/A,55.9,59.5,One,Beta,Russia
CT0141,SuperRare,Day/Night/Rain,N/A,N/A,23.8,80.1,One,Beta,India
CT0142,SuperRare,Day/Night/Rain/Snow,N/A,N/A,75.4,59.5,One,Beta,Russia
CT0143,SuperRare,Day/Night/Rain/Snow,N/A,N/A,68.9,-84.8,One,Beta,Canada
CT0144,SuperRare,Day/Night/Rain,N/A,N/A,-22.7,148.3,One,Beta,Australia
CT0145,SuperRare,Day/Night/Rain,N/A,N/A,9.4,105.5,One,Beta,Viet Nam
CT0146,SuperRare,Day/Night/Rain,N/A,N/A,6.4,-5.6,One,Beta,Cote d'Ivoire
CT0147,SuperRare,Day/Night/Rain,N/A,N/A,35.7,-113.4,One,Beta,United States of America
CT0148,SuperRare,Day/Night/Rain/Snow,N/A,N/A,29.3,102.3,One,Beta,China
CT0149,SuperRare,Day/Night/Rain/Snow,N/A,N/A,74.1,88,One,Beta,Russia
CT0150,SuperRare,Day/Night/Rain/Snow,N/A,N/A,35.7,70.6,One,Beta,Afghanistan
CT0151,SuperRare,Day/Night/Rain,N/A,N/A,-16.7,-46.8,One,Beta,Brazil
CT0152,SuperRare,Day/Night/Rain/Snow,N/A,N/A,70.1,-88,One,Beta,Canada
CT0153,SuperRare,Day/Night/Rain,N/A,N/A,47.2,-124.5,One,Beta,United States of America
CT0154,SuperRare,Day/Night/Rain,N/A,N/A,9.4,50,One,Beta,Somalia
CT0155,SuperRare,Day/Night/Rain/Snow,N/A,N/A,43.9,-70.6,One,Beta,United States of America
CT0156,SuperRare,Day/Night/Rain/Snow,N/A,N/A,48.3,43.6,One,Beta,Russia
CT0157,SuperRare,Day/Night/Rain,N/A,N/A,-2.8,121.3,One,Beta,Indonesia
CT0158,SuperRare,Day/Night/Rain,N/A,N/A,-1.3,-73.7,One,Beta,Peru
CT0159,SuperRare,Day/Night/Rain/Snow,N/A,N/A,65.2,134,One,Beta,Russia
CT0160,SuperRare,Day/Night/Rain/Snow,N/A,N/A,41.7,-83.3,One,Beta,United States of America
CT0161,SuperRare,Day/Night/Rain,N/A,N/A,4.9,18.2,One,Beta,Central African Republic
CT0162,SuperRare,Day/Night/Rain,N/A,N/A,21,26.2,One,Beta,Sudan
CT0163,SuperRare,Day/Night/Rain,N/A,N/A,-10.5,-53.1,One,Beta,Brazil
CT0164,SuperRare,Day/Night/Rain,N/A,N/A,18.2,-91.2,One,Beta,Mexico
CT0165,SuperRare,Day/Night/Rain/Snow,N/A,N/A,67.8,32.5,One,Beta,Russia
CT0166,SuperRare,Day/Night/Rain/Snow,N/A,N/A,62.4,151.5,One,Beta,Russia
CT0167,SuperRare,Day/Night/Rain,N/A,N/A,21,83.3,One,Beta,India
CT0168,SuperRare,Day/Night/Rain/Snow,N/A,N/A,67.8,15.1,One,Beta,Norway
CT0169,SuperRare,Day/Night/Rain/Snow,N/A,N/A,69.5,124.5,One,Beta,Russia
CT0170,SuperRare,Day/Night/Rain,N/A,N/A,-19.7,129.3,One,Beta,Australia
CT0171,SuperRare,Day/Night/Rain/Snow,N/A,N/A,60.9,124.5,One,Beta,Russia
CT0172,SuperRare,Day/Night/Rain/Snow,N/A,N/A,68.4,-70.6,One,Beta,Canada
CT0173,SuperRare,Day/Night/Rain/Snow,N/A,N/A,52.3,32.5,One,Beta,Ukraine
CT0174,SuperRare,Day/Night/Rain,N/A,N/A,-46.7,168.9,One,Beta,New Zealand
CT0175,SuperRare,Day/Night/Rain/Snow,N/A,N/A,42.8,72.2,One,Beta,Kazakhstan
CT0176,SuperRare,Day/Night/Rain/Snow,N/A,N/A,71.6,-110.2,One,Beta,Canada
CT0177,SuperRare,Day/Night/Rain/Snow,N/A,N/A,60.9,-97.5,One,Beta,Canada
CT0178,SuperRare,Day/Night/Rain,N/A,N/A,30.6,-105.5,One,Beta,Mexico
CT0179,SuperRare,Day/Night/Rain/Snow,N/A,N/A,56.8,121.3,One,Beta,Russia
CT0180,SuperRare,Day/Night/Rain/Snow,N/A,N/A,67.1,86.4,One,Epsilon,Russia
CT0181,SuperRare,Day/Night/Rain/Snow,N/A,N/A,62.4,-122.9,One,Epsilon,Canada
CT0182,SuperRare,Day/Night/Rain/Snow,N/A,N/A,66.5,135.6,One,Epsilon,Russia
CT0183,SuperRare,Day/Night/Rain/Snow,N/A,N/A,56.8,67.4,One,Epsilon,Russia
CT0184,SuperRare,Day/Night/Rain,N/A,N/A,27.9,34.1,One,Epsilon,Egypt
CT0185,SuperRare,Day/Night/Rain,N/A,N/A,0.3,-54.7,One,Epsilon,Brazil
CT0186,SuperRare,Day/Night/Rain/Snow,N/A,N/A,72.1,119.7,One,Epsilon,Russia
CT0187,SuperRare,Day/Night/Rain/Snow,N/A,N/A,43.9,134,One,Epsilon,Russia
CT0188,SuperRare,Day/Night/Rain/Snow,N/A,N/A,34.4,127.7,One,Epsilon,South Korea
CT0189,SuperRare,Day/Night/Rain/Snow,N/A,N/A,36.9,-111.8,One,Epsilon,United States of America
CT0190,SuperRare,Day/Night/Rain,N/A,N/A,33.2,70.6,One,Epsilon,Pakistan
CT0191,SuperRare,Day/Night/Rain/Snow,N/A,N/A,38.1,46.8,One,Epsilon,Iran
CT0192,SuperRare,Day/Night/Rain/Snow,N/A,N/A,51.3,48.4,One,Epsilon,Russia
CT0193,SuperRare,Day/Night/Rain,N/A,N/A,9.4,-13.5,One,Epsilon,Guinea
CT0194,SuperRare,Day/Night/Rain,N/A,N/A,6.4,21.4,One,Epsilon,Central African Republic
CT0195,SuperRare,Day/Night/Rain/Snow,N/A,N/A,67.8,-141.9,One,Epsilon,United States of America
CT0196,SuperRare,Day/Night/Rain/Snow,N/A,N/A,48.3,81.7,One,Epsilon,Kazakhstan
CT0197,SuperRare,Day/Night/Rain/Snow,N/A,N/A,55.9,-72.2,One,Epsilon,Canada
CT0198,SuperRare,Day/Night/Rain/Snow,N/A,N/A,41.7,-97.5,One,Epsilon,United States of America
CT0199,SuperRare,Day/Night/Rain/Snow,N/A,N/A,60.1,172.1,One,Epsilon,Russia
CT0200,SuperRare,Day/Night/Rain,N/A,N/A,38.1,23,One,Epsilon,Greece
CT0201,SuperRare,Day/Night/Rain/Snow,N/A,N/A,60.9,154.6,One,Epsilon,Russia
CT0202,SuperRare,Day/Night/Rain/Snow,N/A,N/A,47.2,61.1,One,Epsilon,Kazakhstan
CT0203,SuperRare,Day/Night/Rain/Snow,N/A,N/A,61.7,126.1,One,Epsilon,Russia
CT0204,SuperRare,Day/Night/Rain,N/A,N/A,21,24.6,One,Epsilon,Libya
CT0205,SuperRare,Day/Night/Rain,N/A,N/A,25.2,102.3,One,Epsilon,China
CT0206,SuperRare,Day/Night/Rain,N/A,N/A,31.9,73.7,One,Epsilon,Pakistan
CT0207,SuperRare,Day/Night/Rain/Snow,N/A,N/A,74.1,99.1,One,Epsilon,Russia
CT0208,SuperRare,Day/Night/Rain/Snow,N/A,N/A,65.2,-141.9,One,Epsilon,United States of America
CT0209,SuperRare,Day/Night/Rain/Snow,N/A,N/A,60.1,81.7,One,Epsilon,Russia
CT0210,SuperRare,Day/Night/Rain,N/A,N/A,9.4,7.1,One,Epsilon,Nigeria
CT0211,SuperRare,Day/Night/Rain/Snow,N/A,N/A,42.8,108.6,One,Epsilon,Mongolia
CT0212,SuperRare,Day/Night/Rain/Snow,N/A,N/A,50.3,121.3,One,Epsilon,China
CT0213,SuperRare,Day/Night/Rain,N/A,N/A,-2.8,122.9,One,Epsilon,Indonesia
CT0214,SuperRare,Day/Night/Rain,N/A,N/A,18.2,35.7,One,Epsilon,Sudan
CT0215,SuperRare,Day/Night/Rain/Snow,N/A,N/A,63.8,15.1,One,Epsilon,Sweden
CT0216,SuperRare,Day/Night/Rain/Snow,N/A,N/A,66.5,-130.8,One,Epsilon,Canada
CT0217,SuperRare,Day/Night/Rain,N/A,N/A,21,-97.5,One,Epsilon,Mexico
CT0218,SuperRare,Day/Night/Rain/Snow,N/A,N/A,51.3,159.4,One,Epsilon,Russia
CT0219,SuperRare,Day/Night/Rain/Snow,N/A,N/A,33.2,108.6,One,Epsilon,China
CT0220,SuperRare,Day/Night/Rain,N/A,N/A,29.3,11.9,One,Epsilon,Libya
CT0221,SuperRare,Day/Night/Rain,N/A,N/A,21,-78.5,One,Epsilon,Cuba
CT0222,SuperRare,Day/Night/Rain/Snow,N/A,N/A,72.6,105.5,One,Epsilon,Russia
CT0223,SuperRare,Day/Night/Rain,N/A,N/A,-21.2,143.5,One,Epsilon,Australia
CT0224,SuperRare,Day/Night/Rain/Snow,N/A,N/A,49.3,30.9,One,Epsilon,Ukraine
CT0225,SuperRare,Day/Night/Rain,N/A,N/A,-19.7,141.9,One,Epsilon,Australia
CT0226,SuperRare,Day/Night/Rain/Snow,N/A,N/A,46.1,-65.8,One,Epsilon,Canada
CT0227,SuperRare,Day/Night/Rain,N/A,N/A,21,-5.6,One,Epsilon,Mali
CT0228,SuperRare,Day/Night/Rain/Snow,N/A,N/A,71.6,110.2,One,Epsilon,Russia
CT0229,SuperRare,Day/Night/Rain,N/A,N/A,19.6,-2.4,One,Epsilon,Mali
CT0230,SuperRare,Day/Night/Rain/Snow,N/A,N/A,68.9,27.8,One,Epsilon,Finland
CT0231,SuperRare,Day/Night/Rain,N/A,N/A,47.2,7.1,One,Epsilon,Switzerland
CT0232,SuperRare,Day/Night/Rain/Snow,N/A,N/A,41.7,21.4,One,Epsilon,North Macedonia
CT0233,SuperRare,Day/Night/Rain/Snow,N/A,N/A,70.6,-84.8,One,Epsilon,Canada
CT0234,SuperRare,Day/Night/Rain/Snow,N/A,N/A,36.9,105.5,One,Epsilon,China
CT0235,SuperRare,Day/Night/Rain,N/A,N/A,49.3,2.4,One,Epsilon,France
CT0236,SuperRare,Day/Night/Rain,N/A,N/A,19.6,-76.9,One,Epsilon,Cuba
CT0237,SuperRare,Day/Night/Rain,N/A,N/A,10.9,-10.3,One,Epsilon,Guinea
CT0238,SuperRare,Day/Night/Rain,N/A,N/A,23.8,18.2,One,Epsilon,Libya
CT0239,SuperRare,Day/Night/Rain,N/A,N/A,-16.7,146.7,One,Epsilon,Australia
CT0240,SuperRare,Day/Night/Rain/Snow,N/A,N/A,39.3,88,One,Epsilon,China
CT0241,SuperRare,Day/Night/Rain/Snow,N/A,N/A,-47.8,-72.2,One,Epsilon,Argentina
CT0242,SuperRare,Day/Night/Rain,N/A,N/A,26.6,-7.1,One,Epsilon,Algeria
CT0243,SuperRare,Day/Night/Rain,N/A,N/A,35.7,-121.3,One,Epsilon,United States of America
CT0244,SuperRare,Day/Night/Rain/Snow,N/A,N/A,62.4,-137.2,One,Epsilon,Canada
CT0245,SuperRare,Day/Night/Rain/Snow,N/A,N/A,70.1,135.6,One,Epsilon,Russia
CT0246,SuperRare,Day/Night/Rain/Snow,N/A,N/A,45.1,143.5,One,Epsilon,Russia
CT0247,SuperRare,Day/Night/Rain,N/A,N/A,42.8,8.7,One,Epsilon,Italy
CT0248,SuperRare,Day/Night/Rain/Snow,N/A,N/A,48.3,134,One,Epsilon,China
CT0249,SuperRare,Day/Night/Rain/Snow,N/A,N/A,65.2,-173.7,One,Epsilon,Russia
CT0250,SuperRare,Day/Night/Rain,N/A,N/A,30.6,-92.8,One,Epsilon,United States of America
CT0251,SuperRare,Day/Night/Rain,N/A,N/A,25.2,110.2,One,Epsilon,China
CT0252,SuperRare,Day/Night/Rain/Snow,N/A,N/A,49.3,94.4,One,Epsilon,Mongolia
CT0253,SuperRare,Day/Night/Rain,N/A,N/A,-21.2,-59.5,One,Epsilon,Paraguay
CT0254,SuperRare,Day/Night/Rain/Snow,N/A,N/A,52.3,99.1,One,Epsilon,Russia
CT0255,SuperRare,Day/Night/Rain/Snow,N/A,N/A,54.1,-67.4,One,Epsilon,Canada
CT0256,SuperRare,Day/Night/Rain,N/A,N/A,26.6,92.8,One,Epsilon,India
CT0257,SuperRare,Day/Night/Rain,N/A,N/A,7.9,-0.8,One,Epsilon,Ghana
CT0258,SuperRare,Day/Night/Rain,N/A,N/A,-4.3,105.5,One,Epsilon,Indonesia
CT0259,SuperRare,Day/Night/Rain,N/A,N/A,22.5,89.6,One,Epsilon,Bangladesh
CT0260,SuperRare,Day/Night/Rain/Snow,N/A,N/A,50.3,134,One,Epsilon,Russia
CT0261,SuperRare,Day/Night/Rain/Snow,N/A,N/A,34.4,116.6,One,Epsilon,China
CT0262,SuperRare,Day/Night/Rain,N/A,N/A,-19.7,21.4,One,Epsilon,Botswana
CT0263,SuperRare,Day/Night/Rain,N/A,N/A,35.7,65.8,One,Epsilon,Afghanistan
CT0264,SuperRare,Day/Night/Rain/Snow,N/A,N/A,60.9,95.9,One,Epsilon,Russia
CT0265,SuperRare,Day/Night/Rain/Snow,N/A,N/A,51.3,129.3,One,Epsilon,Russia
CT0266,SuperRare,Day/Night/Rain,N/A,N/A,-15.1,-40.4,One,Epsilon,Brazil
CT0267,SuperRare,Day/Night/Rain/Snow,N/A,N/A,38.1,94.4,One,Epsilon,China
CT0268,SuperRare,Day/Night/Rain/Snow,N/A,N/A,72.6,-50,One,Epsilon,Greenland
CT0269,SuperRare,Day/Night/Rain,N/A,N/A,15.3,95.9,One,Epsilon,Myanmar
CT0270,SuperRare,Day/Night/Rain/Snow,N/A,N/A,66.5,23,One,Epsilon,Sweden
CT0271,SuperRare,Day/Night/Rain/Snow,N/A,N/A,64.5,81.7,One,Epsilon,Russia
CT0272,SuperRare,Day/Night/Rain,N/A,N/A,33.2,51.5,One,Epsilon,Iran
